business_postal_code,Unnamed: 0,population ,avg_income,inspection_id,inspection_date,inspection_score,inspection_type,violation_description,risk_category,Neighborhoods,Current Police Districts
94127,1,20624,95313,38798_20170928,09/28/2017 12:00:00 AM,94.0,Routine - Unscheduled,Improper or defective plumbing,Low Risk,95.0,9.0
94127,1,20624,95313,5796_20170825,08/25/2017 12:00:00 AM,98.0,Routine - Unscheduled,Improper food storage,Low Risk,63.0,10.0
94127,1,20624,95313,2808_20170621,06/21/2017 12:00:00 AM,81.0,Routine - Unscheduled,Other low risk violation,Low Risk,67.0,10.0
94127,1,20624,95313,4630_20170304,03/04/2017 12:00:00 AM,96.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk,67.0,10.0
94127,1,20624,95313,2808_20190103,01/03/2019 12:00:00 AM,74.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,67.0,10.0
94127,1,20624,95313,60484_20181101,11/01/2018 12:00:00 AM,81.0,Routine - Unscheduled,High risk food holding temperature,High Risk,46.0,10.0
94127,1,20624,95313,17723_20180222,02/22/2018 12:00:00 AM,84.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk,117.0,9.0
94127,1,20624,95313,4539_20171101,11/01/2017 12:00:00 AM,92.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,46.0,10.0
94127,1,20624,95313,1702_20171130,11/30/2017 12:00:00 AM,73.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk,46.0,10.0
94127,1,20624,95313,5796_20180209,02/09/2018 12:00:00 AM,94.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,63.0,10.0
94127,1,20624,95313,3260_20180320,03/20/2018 12:00:00 AM,94.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk,68.0,10.0
94127,1,20624,95313,1702_20180911,09/11/2018 12:00:00 AM,86.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk,46.0,10.0
94127,1,20624,95313,1950_20180924,09/24/2018 12:00:00 AM,92.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,46.0,10.0
94127,1,20624,95313,38798_20180807,08/07/2018 12:00:00 AM,92.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,95.0,9.0
94127,1,20624,95313,1963_20171101,11/01/2017 12:00:00 AM,92.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk,46.0,10.0
94127,1,20624,95313,1700_20180222,02/22/2018 12:00:00 AM,93.0,Routine - Unscheduled,High risk food holding temperature,High Risk,46.0,10.0
94127,1,20624,95313,5797_20170209,02/09/2017 12:00:00 AM,92.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,63.0,10.0
94127,1,20624,95313,60484_20180111,01/11/2018 12:00:00 AM,86.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk,46.0,10.0
94127,1,20624,95313,19138_20190204,02/04/2019 12:00:00 AM,82.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk,68.0,10.0
94127,1,20624,95313,37482_20190109,01/09/2019 12:00:00 AM,85.0,Routine - Unscheduled,Improper storage of equipment utensils or linens,Low Risk,46.0,10.0
94127,1,20624,95313,3659_20180108,01/08/2018 12:00:00 AM,92.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk,46.0,10.0
94127,1,20624,95313,2808_20190710,07/10/2019 12:00:00 AM,70.0,Routine - Unscheduled,Improper or defective plumbing,Low Risk,67.0,10.0
94127,1,20624,95313,587_20181203,12/03/2018 12:00:00 AM,70.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk,46.0,10.0
94127,1,20624,95313,1702_20180911,09/11/2018 12:00:00 AM,86.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,46.0,10.0
94127,1,20624,95313,17723_20181212,12/12/2018 12:00:00 AM,69.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk,117.0,9.0
94127,1,20624,95313,38798_20170928,09/28/2017 12:00:00 AM,94.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,95.0,9.0
94127,1,20624,95313,587_20181203,12/03/2018 12:00:00 AM,70.0,Routine - Unscheduled,Unclean hands or improper use of gloves,High Risk,46.0,10.0
94127,1,20624,95313,2808_20190710,07/10/2019 12:00:00 AM,70.0,Routine - Unscheduled,Unclean hands or improper use of gloves,High Risk,67.0,10.0
94127,1,20624,95313,2808_20190103,01/03/2019 12:00:00 AM,74.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,67.0,10.0
94127,1,20624,95313,17723_20181212,12/12/2018 12:00:00 AM,69.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk,117.0,9.0
94127,1,20624,95313,5796_20180209,02/09/2018 12:00:00 AM,94.0,Routine - Unscheduled,Improper food storage,Low Risk,63.0,10.0
94127,1,20624,95313,3677_20180718,07/18/2018 12:00:00 AM,94.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,72.0,9.0
94127,1,20624,95313,17723_20180222,02/22/2018 12:00:00 AM,84.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk,117.0,9.0
94127,1,20624,95313,741_20180222,02/22/2018 12:00:00 AM,94.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,46.0,10.0
94127,1,20624,95313,587_20180131,01/31/2018 12:00:00 AM,88.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk,46.0,10.0
94127,1,20624,95313,2808_20190103,01/03/2019 12:00:00 AM,74.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk,67.0,10.0
94127,1,20624,95313,994_20190111,01/11/2019 12:00:00 AM,92.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,95.0,9.0
94127,1,20624,95313,19138_20190204,02/04/2019 12:00:00 AM,82.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk,68.0,10.0
94127,1,20624,95313,5796_20170209,02/09/2017 12:00:00 AM,87.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,63.0,10.0
